職稱,公司名稱,要求工作經驗,要求學歷,所需技能
(外商) - Food Ingredient  - Sales Manager,Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,不拘,大學以上,不拘
Institution Sales (機構法人業務),野村證券投資信託股份有限公司,3年以上,大學以上,不拘
Assistant Sales Analysis Manager - 804906,美商_英屬蓋曼群島商金百利克拉克股份有限公司台灣分公司,3年以上,大學、碩士,不拘
BU Sales(JLPT N1)@桃園,乾坤科技股份有限公司_台達電子集團,4年以上,大學、碩士,不拘
"Country Sales Manager  (Ho chi Minh city, Vietnam)派駐越南當地",鼎翰科技股份有限公司,5年以上,專科以上,不拘
Senior Bridal Fashion Wholesale Sales ( Los Angeles ),裳云智略股份有限公司,3年以上,大學以上,"['客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力']"
Service Contract Sales-35854,台灣是德科技股份有限公司,3年以上,大學,不拘
南歐地區業務專員 / 專案經理(Southern Europe Regional Sales/Account Manager),十銓科技股份有限公司,1年以上,大學、碩士,"['國外業務開發', '業績目標分配與績效達成']"
Sales Development Representative 業務開發專員 (台灣、香港、東南亞、日本),寫意達有限公司,1年以上,專科以上,"['客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力']"
"PM, Sales Manager/ PM專員",首爾半導體_韓商漢城半導體股份有限公司,2年以上,大學、碩士,"['提案與簡報技巧', '行銷策略擬定', '統計軟體操作', '調查樣本統計分析']"
3D vision European Sales (Vision Business Unit),所羅門股份有限公司,2年以上,專科、大學、碩士,不拘
Sales assistant 行政業務助理,台灣骨王生技股份有限公司,1年以上,大學、碩士,不拘
"Product Sales Manager(Irvine, CA, USA)",Advantech_研華股份有限公司,2年以上,大學、碩士,不拘
Telecom Mobile Pre-sales Manager,台灣現觀股份有限公司,5年以上,專科、大學、碩士,不拘
Sales Associate_Cartier (台北區),"Richemont Asia Pacific Ltd., Taiwan Branch_香港商歷峯亞太有限公司台灣分公司",2年以上,高中、專科、大學,不拘
亞太地區業務專員 / 專案經理(Asia-Pacific Sales/Account Manager),十銓科技股份有限公司,1年以上,大學、碩士,不拘
Sales & Account Manager 業務客戶經理,寫意達有限公司,3年以上,專科、大學,不拘
International Sales 國際業務 （medical device),台灣骨王生技股份有限公司,5年以上,高中以上,不拘
Sales Director (Industrial Specialty Chemicals),台灣米高蒲志國際股份有限公司,10年以上,大學,不拘
【馬來西亞】PopDaily 業務總監 Sales Director,數果網路股份有限公司,5年以上,大學,不拘
Sales PM,嶄富科技企業有限公司,3年以上,大學、碩士,不拘
海空運物流業務 Sales,羅賓昇國際聯運股份有限公司,1年以上,專科、大學、碩士,不拘
EMEA Sales Manager/Director,愛瑪麗歐股份有限公司,不拘,大學以上,不拘
Sales - Account Manager - Hsinchu - req15422,(ASML)台灣艾司摩爾科技股份有限公司,3年以上,碩士,不拘
國外業務人員 Account Sales,奇力新電子股份有限公司,1年以上,大學、碩士,不拘
Taiwan Equity Sales / Sales Trader外資業務員(英文),元富證券股份有限公司,2年以上,大學、碩士,不拘
<Internship Program> Volkswagen Commercial Vehicles Sales Intern,奧迪福斯汽車股份有限公司,不拘,專科以上,不拘
Sales Representative(桃/竹/苗),伍仕電子股份有限公司,1年以上,專科以上,不拘
Enterprise sales executive (Analytics and BI platform),英諾瓦資訊科技服務有限公司,4年以上,專科,"['業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Sales Engineer (業務工程師),亞勳科技股份有限公司,不拘,專科以上,不拘
Technical Sales : Textiles finishing auxiliaries | HeiQ,HeiQ Company Limited _瑞士海屹科有限公司,5年以上,大學以上,不拘
<Internship Program> VWPC Sales & Product Intern,奧迪福斯汽車股份有限公司,不拘,專科、大學、碩士,不拘
門市銷售代表 / Store Sales Representative,詩人酒窖有限公司,2年以上,專科、大學、碩士,不拘
Sales - Business Development Manager - Hsinchu - req7783,(ASML)台灣艾司摩爾科技股份有限公司,不拘,碩士以上,不拘
International Sales - Custom Software (Foreigner Welcome),寰宇旅邦有限公司,1年以上,大學以上,不拘
"Assistant Sales Manager, Trade Channel ",台灣昕諾飛股份有限公司,5年以上,大學,不拘
UPS Sales Engineer(長駐法國),全漢企業股份有限公司,5年以上,大學,不拘
Sales Engineer - Filtration  ,伊頓飛瑞慕品股份有限公司,5年以上,大學、碩士,不拘
Inside Sales,伊雲谷數位科技股份有限公司,1年以上,專科、大學,"['文件收發與檔案管理', '文書處理╱排版能力', '行政事務處理', '報表彙整與管理', '電話接聽與人員接待事項', '文件或資料輸入建檔處理', '文件檔案資料處理、轉換及整合工作', '管理行事曆與會議協調安排', '輸入資料與原始文件檔案比對審核', '客戶資料更新維護', '業績與管理報表撰寫']"
Sales Personnel,Nordic Unique Travels,2年以上,大學以上,不拘
營運專案管理 Sales and Operation Specialist,易發精機股份有限公司,不拘,專科、大學、碩士,不拘
Banking RM/Fund Channel Sales Manager/投信基金產品通路主管 _ FP258,藝珂人事顧問股份有限公司,3年以上,大學以上,不拘
NB Channel Sales(需長差or外派至東南亞國家),微星科技股份有限公司,3年以上,專科、大學、碩士,不拘
《Sales》Account sales,立端科技股份有限公司,5年以上,大學以上,不拘
國外業務 Sales and Marketing Representative,創科智盈科技有限公司,2年以上,大學以上,不拘
Sales Representative(牙科業務代表 - 北區) (有牙材/ 醫療儀器經驗優先),Nobel Biocare_台灣諾保科股份有限公司,2年以上,專科、大學、碩士,不拘
專案業務 / Pre-sales,太和光股份有限公司,1年以上,專科以上,不拘
Account Sales of Broadband CPE_8864,和碩集團_和碩聯合科技股份有限公司,5年以上,大學、碩士,不拘
Sales Director of Early Stage Clinical,華鼎生技顧問股份有限公司,3年以上,大學以上,業務或通路開發
ODMs/OEMs Account Sales Manager,雲動科技股份有限公司,4年以上,大學、碩士,不拘
Oversea Chemical Sales Lead (Hanoi Vietnam),震豐股份有限公司,2年以上,大學、碩士,不拘
中東地區業務專員／專案經理(Middle East Region Sales／Account Manager),十銓科技股份有限公司,1年以上,專科、大學、碩士,不拘
Product Sales Manager -(Japan Office),Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
VP of Global Sales(Taipei),愛瑪麗歐股份有限公司,10年以上,大學、碩士,不拘
SAP Sales,展碁國際股份有限公司,3年以上,專科、大學、碩士,不拘
Sales and Administration Assistant to Textiles BU | HX,HeiQ Company Limited _瑞士海屹科有限公司,3年以上,專科以上,紡織品檢驗作業
Display Sales,擎亞電子股份有限公司,3年以上,大學,業務或通路開發
Sales Associate / Senior Sales Associate (based in singapore),荷蘭商蔻馳皮件股份有限公司台灣分公司,3年以上,大學以上,不拘
Fulfillment Sales,精英電腦股份有限公司,3年以上,大學、碩士,不拘
Sales (業務代表 / 半導體部門),台灣蓋姆有限公司,2年以上,專科、大學、碩士,不拘
業務副理 Assistant Sales Manager (網通Networking; Key Account),EDOM_益登科技股份有限公司,5年以上,專科以上,不拘
Account Sales Manager  客戶業務經理-TC19131,"Super Micro Computer, Inc._美超微電腦股份有限公司",8年以上,大學、碩士,不拘
"Sales Representative South (牙科業務代表 - 高雄工作, 牙材經驗, 高雄居住優先)",Nobel Biocare_台灣諾保科股份有限公司,2年以上,專科、大學、碩士,不拘
Sales Account Manager (Vietnam Region),Synology_群暉科技股份有限公司,1年以上,大學、碩士,不拘
Sales FAE,協雲科技股份有限公司,不拘,專科、大學,不拘
SC- Sales account manager (工作地點：士林),泰金寶電通股份有限公司,2年以上,大學以上,不拘
業務專員 Sales Specialist- Key Account (網通 Networking),EDOM_益登科技股份有限公司,不拘,專科以上,不拘
國外業務人員(Inside sales of AIntercon Region),Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
Sales VP/Director/Manager 全球業務主管,台灣現觀股份有限公司,5年以上,專科以上,不拘
Senior Sales (工作地點:新加坡),玩美行動股份有限公司,3年以上,大學以上,不拘
Marketing and Sales Coordinator/Manager 行銷業務專員 / 經理,生德奈生物科技股份有限公司,3年以上,大學以上,"['行銷策略擬定', '顧客關係管理', '市場調查企劃與執行', '國外業務開發', '業務或通路開發']"
(Sr) Sales Development Specialist - 層析 填料,德商默克在台集團_台灣默克股份有限公司,不拘,大學以上,不拘
Senior Account Sales Manager / Business development Manager( 駐英國),全漢企業股份有限公司,3年以上,大學、碩士,不拘
國外業務專員Overseas Sales Specialist,高創科技股份有限公司,5年以上,專科、大學、碩士,不拘
(ODM Sales) Monitor資深業務,嘉捷科技企業股份有限公司,3年以上,大學、碩士,不拘
Sales Representative  (中區業務代表),西藥_羅氏大藥廠股份有限公司,2年以上,大學、碩士,不拘
資深業務專員 Sales Multi-market/ Business development,EDOM_益登科技股份有限公司,2年以上,專科、大學、碩士,不拘
業務專員 Sales Multi-market/ Business development,EDOM_益登科技股份有限公司,不拘,專科、大學、碩士,不拘
國外部資深業務 Oversea Senior Sales Engineer(中壢),碩達電子科技股份有限公司,5年以上,不拘,"['客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力']"
Sales Specialist - Business Development 商務拓展開發,美商知識能股份有限公司台灣分公司,3年以上,大學,"['提案與簡報技巧', '行銷策略擬定', '業務或通路開發']"
US Account Sales/Account Manager (南港)-RSBU,神基科技股份有限公司,8年以上,大學、碩士,不拘
S302 Supply Chain & Operation Sales Manager,中磊電子股份有限公司,10年以上,大學、碩士,不拘
【Sales】Sales-2000329,宏碁股份有限公司,1年以上,大學,不拘
產品企劃類-Sales PM產品行銷主管,威剛科技股份有限公司,不拘,大學以上,不拘
Sales Development Executives-視覺事業處(VBU),所羅門股份有限公司,3年以上,專科、大學、碩士,不拘
International Sales Representative(挑戰年薪百萬),建名精密企業股份有限公司,2年以上,大學以上,不拘
醫療業務人員(北區) Territory Sales Representative (Greater Taipei region),銀鐸實業有限公司,3年以上,大學以上,不拘
國際業務 International Sales (Middle-East市場 ),台耘工業股份有限公司,不拘,大學以上,"['工作任務╱業績項目分配', '業績目標達成']"
Sales Representative  (北區業務代表),西藥_羅氏大藥廠股份有限公司,3年以上,大學、碩士,不拘
Administrative and Sales Assistance 行政與業務協助專員,澳安國際有限公司,2年以上,大學、碩士,"['文件收發與檔案管理', '文書處理╱排版能力', '行政事務處理', '報表彙整與管理', '電話接聽與人員接待事項', '文件或資料輸入建檔處理', '專案時間╱進度控管', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '顧客關係管理', '進出口報關管理']"
【總公司】業務專員 Corporate Sales Executive,特威茶葉有限公司(TWG Tea Company Pte Ltd.),2年以上,大學以上,不拘
SA20205 Oversea Sales Manager (South East Asia),華碩電腦股份有限公司,5年以上,大學、碩士,不拘
Sales Engineers (Sales+PM)高級專員/資深專員,香港商磐旭智能國際股份有限公司台灣分公司,3年以上,大學以上,不拘
業務專員Account Sales【智能光膜】(建東廠),明基材料股份有限公司,5年以上,碩士以上,不拘
Senior Sales Assistant,聯齊科技股份有限公司,4年以上,大學以上,"['專案時間╱進度控管', '專案溝通╱整合管理']"
業務代表(Outside sales)-高雄,萬海航運股份有限公司,不拘,大學以上,不拘
雲端網路產品Cloud Solution Sales Manager業務專員/主管 - J1818,廣達電腦股份有限公司,5年以上,大學、碩士,不拘
