職稱,公司名稱,要求工作經驗,要求學歷,所需技能
Sales Engineer Manager - industrial automation,萬寶華企業管理顧問股份有限公司,不拘,大學,不拘
Account Sales of Broadband CPE_9107,和碩集團_和碩聯合科技股份有限公司,2年以上,大學,不拘
Sales Manager_業務經理,合肥晶合集成電路有限公司,10年以上,大學以上,不拘
LC -歐美資深Sales Ｍanager/Sales Head/BD Manger,新加坡商立可人事顧問有限公司台灣分公司,5年以上,大學以上,不拘
Sales Coordinator (6 months contractor),美商英特格有限公司台灣分公司_半導體零件商,2年以上,大學、碩士,不拘
VP of Global Sales,愛瑪麗歐股份有限公司,10年以上,大學、碩士,不拘
Sales Analytics Manager 市場分析調查經理,台灣特斯拉汽車有限公司,不拘,專科、大學,不拘
Sales Representative(北區),歐易企業股份有限公司,不拘,專科以上,不拘
Sales Representative(中區),歐易企業股份有限公司,不拘,專科以上,不拘
三千貿易 -- Slide Engineer Sales / Outside Sales  (台北),三千集團_三千貿易股份有限公司,5年以上,專科以上,不拘
EK-資深醫藥代表Sr Sales(熟悉心臟科別) / 外商醫材,新加坡商立可人事顧問有限公司台灣分公司,5年以上,大學以上,不拘
Sales&Marketing VP (Multinational MLM company with EC model),台灣米高蒲志國際股份有限公司,5年以上,大學、碩士,不拘
Sales Administrator/Inside Sales 業務專員-TC19262,"Super Micro Computer, Inc._美超微電腦股份有限公司",3年以上,專科以上,不拘
Sales Executive 業務行政主任 - Jo Malone,美商雅詩蘭黛股份有限公司台灣分公司,3年以上,大學以上,不拘
業務工程師 Sales Engineer,美商信諾股份有限公司英士特台灣分公司,2年以上,大學、碩士,"['行銷製作物規劃與執行', '提案與簡報技巧', '行銷策略擬定', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '客戶情報蒐集', '客訴案件處理', '產品介紹及解說銷售']"
Sales Manager / Assistant Sales Manager (Recruit for Indonesian affiliates),摩恩富珥生技有限公司,3年以上,專科以上,"['行銷製作物規劃與執行', '異業合作規劃與執行', '實體活動規劃與執行', '網路活動規劃與執行', '研討會／講座活動規劃與執行', '行銷宣傳預算編製與控管', '行銷策略擬定', '品牌知名度推廣', '廣告預算控管', '顧客關係管理', '社群媒體經營管理', '市場調查企劃與執行']"
Chemical Sales Engineer（China：上海、華南）,震豐股份有限公司,1年以上,大學、碩士,不拘
Sales BDM (USA．California．Silicon Valley),磐儀科技股份有限公司,2年以上,大學以上,不拘
NB Channel Sales(需出差至印度),微星科技股份有限公司,3年以上,專科、大學、碩士,不拘
Sales Account Manager/業務經理,怡凡得股份有限公司,3年以上,大學以上,不拘
Pre-Sales Application Engineer- 36582,台灣是德科技股份有限公司,5年以上,大學,不拘
SN-Sales Head /Sales Director /Sales Lead 業務總監 (Tier 1汽車零組件),新加坡商立可人事顧問有限公司台灣分公司,10年以上,大學以上,不拘
